id,year,title,entry,phylum,class,order,genus,match_method,confidence,rationale
1,2022,Socratic Models: Composing Zero-Shot Multimodal Reasoning with Language,"A, Zeng, Attarian, M., Ichter, B., Choromanski, K., Wong, A., Welker, S., Tombari, F., Purohit, A., Ryoo, M., Sindhwani, V., Lee, J., Vanhoucke, V., and Florence, P. 2022. Socratic Models: Composing Zero-Shot Multimodal Reasoning with Language. arXiv preprint.",Back-End Optimization & Inference,Robust Back-End,Outlier-Robust Optimization,Robust Pose Graph Optimization,codex_context_semantic,0.96,"Cited in robust back-end optimization context. Strongest Handbook context: 3.3.2 Black-Rangarajan Duality. Genus label: Robust Pose Graph Optimization (codex_context_genus, score=6)."
2,2016,TensorFlow: a system for Large-Scale machine learning,"Abadi, Mart - in, Barham, Paul, Chen, Jianmin, Chen, Zhifeng, Davis, Andy, Dean, Jeffrey, Devin, Matthieu, Ghemawat, Sanjay, Irving, Geoffrey, Isard, Michael, et al. 2016. TensorFlow: a system for Large-Scale machine learning. Pages 265-283 of: 12th USENIX symposium on operating systems design and implementation (OSDI 16).",Back-End Optimization & Inference,Certifiable and Differentiable Solvers,Differentiable Optimization,Implicit Differentiation,codex_context_semantic,0.74,"Cited in differentiable optimization chapter. Strongest Handbook context: 4.4.2 Related Open-source Libraries. Genus label: Implicit Differentiation (codex_context_genus, score=3)."
3,2023,Kimera2: Robust and Accurate Metric-Semantic SLAM in the Real World,"Abate, M., Chang, Y., Hughes, N., and Carlone, L. 2023a. Kimera2: Robust and Accurate Metric-Semantic SLAM in the Real World. In: Intl. Sym. on Experimental Robotics (ISER).",Sensor & Odometry Modalities,Proprioceptive and Aided Odometry,Inertial Odometry,Visual-Inertial Odometry,codex_context_semantic,0.74,"Cited in VIO practical context. Strongest Handbook context: 11.4 Visual-Inertial Odometry and Practical Considerations        327. Genus label: Visual-Inertial Odometry (codex_context_genus, score=61)."
4,2023,Multi-Camera Visual-Inertial Simultaneous Localization and Mapping for Autonomous Valet Parking,"Abate, M., Schwartz, A., Wong, X.I., Luo, W., Littman, R., Klinger, M., Kuhnert, L., Blue, D., and Carlone, L. 2023b. Multi-Camera Visual-Inertial Simultaneous Localization and Mapping for Autonomous Valet Parking. In: Intl. Sym. on Experimental Robotics (ISER). ,.",Sensor & Odometry Modalities,Proprioceptive and Aided Odometry,Inertial Odometry,Visual-Inertial Odometry,codex_context_semantic,0.9,"Cited in VIO practical context. Strongest Handbook context: 11.4 Visual-Inertial Odometry and Practical Considerations  329. Genus label: Visual-Inertial Odometry (codex_context_genus, score=61)."
5,2023,Gpt-4 technical report,"Achiam, Josh, Adler, Steven, Agarwal, Sandhini, Ahmad, Lama, Akkaya, Ilge, Aleman, Florencia Leoni, Almeida, Diogo, Altenschmidt, Janko, Altman, Sam, Anadkat, Shyamal, et al. 2023. Gpt-4 technical report. arXiv preprint.","Learning, Semantics & Spatial AI",Foundation and Open-World Spatial AI,Open-World Mapping,Open-Set Object Maps,codex_context_semantic,0.74,"Cited in open-world mapping context. Strongest Handbook context: 17.3 Open-World Mapping  499. Genus label: Open-Set Object Maps (codex_context_genus, score=3)."
6,2021,CFEAR Radarodometry - Conservative Filtering for Efficient and Accurate Radar Odometry,"Adolfsson, Daniel, Magnusson, Martin, Alhashimi, Anas, Lilienthal, Achim J., and Andreasson, Henrik. 2021. CFEAR Radarodometry - Conservative Filtering for Efficient and Accurate Radar Odometry. Pages 5462-5469 of: IEEE/RSJ Intl. Conf. on Intelligent Robots and Systems (IROS).",Sensor & Odometry Modalities,Radar SLAM,Radar System Families,Radar Odometry,codex_context_semantic,0.82,"Title is a radar odometry/SLAM system. Genus label: Radar Odometry (codex_context_genus, score=58)."
7,2022,CorAl: Introspection for robust radar and lidar perception in diverse environments using differential entropy,"Adolfsson, Daniel, Castellano-Quero, Manuel, Magnusson, Martin, Lilienthal, Achim J., and Andreasson, Henrik. 2022. CorAl: Introspection for robust radar and lidar perception in diverse environments using differential entropy. Robotics and Autonomous Systems, May, 104136.",Sensor & Odometry Modalities,Radar SLAM,Radar System Families,Radar Place Recognition,codex_context_semantic,0.66,"Cited in radar SLAM context. Strongest Handbook context: 9.4 Radar SLAM  275. Genus label: Radar Place Recognition (codex_context_genus, score=9)."
8,2023,"Lidar-Level Localization With Radar? The CFEAR Approach to Accurate, Fast, and Robust Large-Scale Radar Odometry in Diverse Environments","Adolfsson, Daniel, Magnusson, Martin, Alhashimi, Anas, Lilienthal, Achim J., and Andreasson, Henrik. 2023a. Lidar-Level Localization With Radar? The CFEAR Approach to Accurate, Fast, and Robust Large-Scale Radar Odometry in Diverse Environments. IEEE Trans. Robotics, 39(2), 1476-1495.",Measurement Front-End,Odometry Front-End,Frame-to-Frame Motion Estimation,Radar Odometry,codex_context_semantic,0.9,"Cited in radar odometry context. Strongest Handbook context: 9.2 Radar Odometry. Genus label: Radar Odometry (codex_context_genus, score=42)."
9,2023,TBV Radar SLAM - trust but verify loop candidates,"Adolfsson, Daniel, Karlsson, Mattias, Kubelka, Vladim - ir, Magnusson, Martin, and Andreasson, Henrik. 2023b. TBV Radar SLAM - trust but verify loop candidates. IEEE Robotics and Automation Letters, 8, 3613-3620.",Sensor & Odometry Modalities,Radar SLAM,Radar System Families,Radar Place Recognition,codex_context_semantic,0.9,"Cited in radar SLAM context. Strongest Handbook context: 9.4.1 Map Representations. Genus label: Radar Place Recognition (codex_context_genus, score=45)."
10,2015,Convergence of iteratively re-weighted least squares to robust m-estimators,"Aftab, Khurrum, and Hartley, Richard. 2015. Convergence of iteratively re-weighted least squares to robust m-estimators. Pages 480-487 of: 2015 IEEE Winter Conference on Applications of Computer Vision. IEEE.",Back-End Optimization & Inference,Robust Back-End,Robust Cost Functions,M-estimators,codex_context_fallback,0.42,"No reliable citation section was recovered; retained parser seed as low-confidence fallback. Genus label: M-estimators (codex_context_genus, score=55)."
